"排序","一级分类","二级分类","评估项目","操作描述","所需材料","适用年龄","是否必答","评分_a_分值","评分_a_标签","评分_a_说明","评分_b_分值","评分_b_标签","评分_b_说明","评分_c_分值","评分_c_标签","评分_c_说明","评分_d_分值","评分_d_标签","评分_d_说明","评分_e_分值","评分_e_标签","评分_e_说明"
"59","发展","认知表现","59：用手势表达5种物品的用途","随意选出一张卡片给孩子看，向他说明要 用手势去表达如何使用它(“做给我看， 你用它做什么”)。如果孩子似乎难于理解 这一任务，拿第一张卡片示范给他看。对 其他几张卡片以相同的步骤重复实施。","5张卡片，分别 画有下列图画： 哨子、球、鼓、 钥匙和锯","","是","2","P","孩子能用手势表达出所有5种物品的用途。","1","E","孩子至少能用手势表达一种物品的用途；或者他能描述至 少一种物品的功能，但没有用手势。","0","F","孩子不能或也不试着用手势去表达任何一种物品的用途； 或者他也不去描述它。","","","","","",""
"60","发展","知觉","60：听见并寻找手摇铃声音的方位","当孩子从事另一项活动时，藏起手摇铃。 然后用力摇动，并注意孩子的反应。","一个手摇铃","","是","2","P","孩子能明显地对声音做出反应，并正确辨认声音的方向。 这种反应可以是语言的(如问这是什么声音)或非语言的 (如眨眼，改变面部表情，吃一惊等，并把头转向声音的 方向)。","1","E","孩子有听到声音的某种表示，但不能辨认声音方向或辨认 声音方向不正确。","0","F","孩子绝对没有语言或非语言的表示，说明他听到了声音。","","","","","",""
"60","病理学","感觉模式","60：听见并寻找手摇铃声音的方位","当孩子从事另一项活动时，藏起手摇铃。 然后用力摇动，并注意孩子的反应。","一个手摇铃","","是","2","A","孩子能对声音做出适当反应(见上面)。","1","M","孩子在相当长时间迟疑之后能做出反应或显示出轻度的不 适当的情感反应。","0","S","孩子对声音做出不适当的反应。他的反应也许是过分的情 感反应(如极度害怕，或长时间尖叫),过度敏感(如捂上 耳朵),或很不敏感(如无任何反应)。","","","","","",""
"61","发展","认知表现","61：依据颜色或形状把 12张卡片分类成组","把12张卡片随意堆放在桌子上。向孩子 说明把它们分成组(“把同样的指给我 看”,“把它们匹配起来”或“把它们分成 组”)。一段时间之后，如果孩子仍难于理 解或完成这一项目，就拿一组做示范(如 三角形或绿色的)。然后再次要他去归类 卡片。必要时你可以进一步示范把所有卡 片归类。然后把卡片混在一起，随意放在 桌上，并再次要孩子试着完成这项任务。","卡片12张，分 别由4种形状 (菱形、圆形、 正方形和三角 形)及3种颜色 (绿、红、紫色) 组合而成。","","是","2","P","孩子不需要充分示范就能把所有卡片分成组(颜色或形状)。","1","E","孩子能完全或部分地把卡片至少分成一个组(如所有绿色 的或者两个三角形);或者需要充分示范才试图去做或完成 该项任务。","0","F","孩子甚至在充分示范之后仍不能部分地将任何卡片分类； 或者也不试着这样做。","","","","","",""
"62","发展","认知表现","62：预想常规的做法","在测试过程中，每当一项任务完成时，就 把该项所用过的器材归入塑料整理箱中。 鼓励孩子来帮助这样做。观察孩子是否能 理解这一常规，不经提示是否也能这样 做。","盛测试器材用 的塑料整理箱","","是","2","P","孩子能迅速建立起惯常做法的概念，仅需稍加提示就知道 下一步该做什么。","1","E","要到测试快结束时才能理解，或需要较多的提示。","0","F","没有下一步该做什么的概念，或对常规的做法完全不理解。","","","","","",""
"63","发展","知觉","63A：对图册显示兴趣","把语言读本放在孩子面前的桌子上。一段 时间之后，如果他还没有去打开，就鼓励 他去打开(如问他是否会看书或者问他是 否知道这是什么东西等)。注意孩子是如 何察看这本图片册的。","语言读本图册","","是","2","P","孩子能察看图册并显示出对图片的某种兴趣(例如：打开 图片册，一页一页翻过去，并肯定在注视图片)。","1","E","孩子能察看书本，但对图片并没有表现出明显的兴趣(例 如打开图片册，稍微浏览一下，并不肯定在注视图片；一 次翻过去4页等)。","0","F","孩子甚至经反复鼓励也不去打开图片册。","","","","","",""
"63","发展","认知表现","63B：接受性地辨认语言读本中的图片","把语言读本放在孩子面前，图片要对着 他。翻到第一页，并引起他的注意。然后 问他“哪个是杯子?”,“杯子在哪?”等， 要他去触摸或者指认给你看“杯子”。如 此逐页重复同样实施。用来问孩子的词 语见“语言读本63B项指导语”。 (注意记录孩子的各种实际的反应，这些 反应将可用于促进语言训练计划的编 制。)记下答对的数目。如果孩子连续说 错了5个，就停下来。","语言读本图册","","是","2","P","孩子至少能正确辨认出14张图片， E:孩子能正确辨认出至少一张图片。 F:孩子不能正确辨认出任何一张图片，或者他也不试着去这 样做。","1","E","孩子能正确辨认出至少一张图片。","0","F","孩子不能正确辨认出任何一张图片，或者他也不试着去这 样做。","","","","","",""
"63","发展","口语认知","63C：表达性辨认语言读本上的图片","打开语言读本。指着奶牛问孩子“这是什 么?”如果语词是一个动词，就问“他(她) 在做什么?”对其余的词重复同样实施。 记下正确回答的数目。当孩子5次失误或 者连续回答不出5张图片时就停下来。","语言读本图册","","是","2","P","孩子至少能正确辨认其中14幅图片。","1","E","孩子至少能正确辨认其中一幅图片。","0","F","孩子不能正确地辨认任何一张图片，或者也不试着这样做。","","","","","",""
"64","发展","模仿","64：口头模仿声音","引起孩子注意，向他说明去重复你所说的 内容(“仔细听”或“照我说的去说”)。 然后说“Mmm”,并向他说明去复述。对 ba-ba,pa-ta,la-la这些声音依照同样的 步骤实施。如果孩子好象有困难，可以增 加一个练习项目(如da-da)。","无","","是","2","P","孩子至少能正确模仿三种声音。","1","E","孩子至少能正确模仿一种声音；或者他设法去模仿，但未 能发出准确的声音(如言语障碍，或者不成熟的构音等)。","0","F","孩子不能或者也不试着去模仿任何一种声音。","","","","","",""
"65","发展","模仿","65：模仿单词","引起孩子注意，然后照64项那样实施。 要孩子去说如下这些单词： 1)“向上”; 2)“做饭”; 3)“宝宝”。","无","","是","2","P","孩子至少能正确复述其中两个单词。","1","E","孩子能正确复述一个单词；或者某个单词的一部分(如说 “向上”,或者说了“宝”表示“宝宝”)。","0","F","孩子连某个单词的一部分也不能复述或者他也不试着去这 样做。","","","","","",""
