"排序","一级分类","二级分类","评估项目","操作描述","所需材料","适用年龄","是否必答","评分_a_分值","评分_a_标签","评分_a_说明","评分_b_分值","评分_b_标签","评分_b_说明","评分_c_分值","评分_c_标签","评分_c_说明","评分_d_分值","评分_d_标签","评分_d_说明","评分_e_分值","评分_e_标签","评分_e_说明"
"70","发展副测验","小肌肉-FM","自发地涂画","","蜡笔, 纸","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"71","发展副测验","小肌肉-FM","表现出使用惯用手","惯用手: 左/右____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"72","发展副测验","小肌肉-FM","沿线描画3个图形","三角形____\n圆形____\n正方形____","蜡笔, 图形纸","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"73","发展副测验","小肌肉-FM","仿画垂直线","","蜡笔, 纸","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"74","发展副测验","小肌肉-FM","仿画圆形","三角形____\n圆形____","蜡笔, 纸","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"75","发展副测验","小肌肉-FM","仿画正方形","正方形____","蜡笔, 纸","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"76","发展副测验","小肌肉-FM","仿画三角形","三角形____\n菱形____","蜡笔, 纸","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"77","发展副测验","小肌肉-FM","仿画菱形","","蜡笔, 纸","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"78","发展副测验","小肌肉-FM","界内着色","","蜡笔, 着色纸","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"79","发展副测验","小肌肉-FM","抄写7个字母","","铅笔, 纸","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"80","发展副测验","小肌肉-FM","绘画1个完整的人形","","铅笔, 纸","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"81","发展副测验","小肌肉-FM","写下名字","","铅笔, 纸","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"82","发展副测验","认知(语言/语前)-CVP","用剪刀剪纸","","剪刀, 纸","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"83","发展副测验","语言表达-EL","对图画书感兴趣","","图画书","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"84","发展副测验","语言表达-EL","假装使用5件图画中的物件","","图画卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"85","发展副测验","认知(语言/语前)-CVP","辨认14幅图画","蝴蝶____\n雪梨____\n小鸡____\n雨伞____\n猫____\n屋____\n球____\n狗____\n杯子____\n匙子____\n蜡笔____\n梳子____\n蜡笔____\n硬币____","图画卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"86","发展副测验","语言表达-EL","说出14幅图画名称","儿童使用的词语:____","图画卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"87","发展副测验","语言表达-EL","说出一句4-5词片语","儿童的词语:____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"88","发展副测验","认知(语言/语前)-CVP","辨别9个生字","人____\n口____\n上____\n山____\n刀____\n天____\n火____\n手____\n田____","生字卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"89","发展副测验","语言表达-EL","读出9个生字","人____\n口____\n上____\n山____\n刀____\n天____\n火____\n手____\n田____","生字卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"90","发展副测验","认知(语言/语前)-CVP","生字配对","","生字卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"91","发展副测验","语言表达-EL","读出数字1-10","","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"92","发展副测验","语言表达-EL","读出3个单字","","单字卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"93","发展副测验","语言表达-EL","读出1句短句子","","句子卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"94","发展副测验","语言表达-EL","诵读篇章少于3个犯错","","篇章卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"95","发展副测验","语言表达-EL","阅读理解及回答2条问题","1.小明有什么动物?____\n2.小明玩什么?____\n3.什么跳过小明的皮球?____","阅读篇章","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"96","发展副测验","语言表达-EL","阅读句子及遵从指令","交回颜色笔____","句子卡, 颜色笔","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"97","发展副测验","认知(语言/语前)-CVP","把1块积木放进盒中","","积木, 盒","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"98","行为副测验","社交互动-SR","轮流摆放积木进盒中","","积木, 盒","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"99","发展副测验","认知(语言/语前)-CVP","叠8块积木","完成积木____块","积木","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"100","发展副测验","认知(语言/语前)-CVP","执行2步骤的指令","坐下____\n拿走积木____","积木, 杯","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"101","发展副测验","语言理解-RL","按指示交出2块及6块积木","2块____\n6块____","积木","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"102","发展副测验","认知(语言/语前)-CVP","数出2块及7块积木","2块____\n7块____","积木","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
